plating_rowdata_index,plating_line_index,plating_line_element_index,plating_rowdata_date,plating_output_v,plating_output_a,plating_input_v,plating_input_a,plating_internal_temperature,plating_external_temperature,plating_external_humidity
82,1,1,"2021-07-14 11:53:51",3.6,4.5,0,0,0,0,0
83,1,1,"2021-07-14 11:53:52",3.6,4.5,0,0,0,0,0
84,1,1,"2021-07-14 11:53:52",3.6,4.5,0,0,0,0,0
85,1,1,"2021-07-14 11:53:53",3.6,4.5,0,0,0,0,0
86,1,1,"2021-07-14 11:53:53",3.6,4.5,0,0,0,0,0
87,1,1,"2021-07-14 11:53:53",3.6,4.5,0,0,0,0,0
88,1,1,"2021-07-14 11:53:54",3.6,4.5,0,0,0,0,0
89,1,1,"2021-07-14 11:53:54",3.6,4.5,0,0,0,0,0
90,1,1,"2021-07-14 11:53:55",3.6,4.5,0,0,0,0,0
91,1,1,"2021-07-14 11:53:55",3.6,4.5,0,0,0,0,0
92,1,1,"2021-07-14 11:53:55",3.6,4.5,0,0,0,0,0
93,1,1,"2021-07-14 11:53:56",3.6,4.5,0,0,0,0,0
94,1,1,"2021-07-14 11:53:56",3.6,4.5,0,0,0,0,0
95,1,1,"2021-07-14 11:53:57",3.6,4.5,0,0,0,0,0
96,1,1,"2021-07-14 11:53:57",3.6,4.5,0,0,0,0,0
97,1,1,"2021-07-14 11:53:57",3.6,4.5,0,0,0,0,0
98,1,1,"2021-07-14 11:53:58",3.6,4.5,0,0,0,0,0
99,1,1,"2021-07-14 11:53:58",3.6,4.5,0,0,0,0,0
100,1,1,"2021-07-14 11:53:59",3.6,4.5,0,0,0,0,0
101,1,1,"2021-07-14 11:53:59",3.7,4.5,0,0,0,0,0
102,1,1,"2021-07-14 11:53:59",3.6,4.5,0,0,0,0,0
103,1,1,"2021-07-14 11:54:00",3.6,4.5,0,0,0,0,0
104,1,1,"2021-07-14 11:54:00",3.6,4.5,0,0,0,0,0
105,1,1,"2021-07-14 11:54:01",3.6,4.5,0,0,0,0,0
106,1,1,"2021-07-14 11:54:01",3.6,4.5,0,0,0,0,0
107,1,1,"2021-07-14 11:54:01",3.6,4.5,0,0,0,0,0
108,1,1,"2021-07-14 11:54:02",3.6,4.5,0,0,0,0,0
